Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Label
2026-06-20 08:14:20,192.168.2.108,81.188.20.104,7289,443,6,1009890,77,25,8472,1785,10156.5517,101.0011,100.5588,35.8378,1,1,1,3,12,BENIGN
2026-06-20 13:48:59,192.168.1.23,98.48.218.60,19966,25,6,1443257,62,16,339,19218,13550.6012,54.0444,250.7308,84.5561,1,2,1,2,4,BENIGN
2026-06-20 11:09:54,192.168.0.52,144.20.72.168,22801,248,6,11127,1,3,53,241,26422.2162,359.4859,73.5,24.9005,1,6,4,0,3,PortScan
2026-06-20 15:32:12,192.168.3.176,44.205.80.165,2609,443,6,1783415,6,3,1171,11753,7246.7709,5.0465,1436.0,498.7867,1,1,1,1,13,BENIGN
2026-06-20 09:54:33,192.168.3.163,211.189.227.15,33630,22,6,585822,81,85,27851,3016,52690.0663,283.3625,185.9458,69.0006,1,14,8,15,52,SSH-Patator
2026-06-20 10:13:26,192.168.0.89,138.235.135.217,49214,80,6,146330,10,36,12816,5992,128531.4016,314.358,408.8696,196.806,1,2,1,0,12,BENIGN
2026-06-20 11:37:47,192.168.1.34,57.246.150.63,15063,443,6,4983874,186,113,18965,29538,9731.9876,59.9935,162.2174,30.2448,5,3,0,6,151,Bot
2026-06-20 13:47:52,192.168.2.16,99.41.123.206,58034,995,6,779598,54,5,18291,14920,42600.1606,75.68,562.8983,245.1751,2,2,0,2,11,BENIGN
2026-06-20 14:24:12,192.168.3.72,196.242.85.29,44609,995,6,1429945,47,63,16462,11352,19451.0978,76.926,252.8545,93.7001,1,1,0,3,10,BENIGN
2026-06-20 14:06:16,192.168.2.191,138.120.26.191,7800,995,17,627075,79,4,7676,25385,52722.5611,132.3606,398.3253,149.4361,2,0,1,0,1,BENIGN
2026-06-20 08:11:03,192.168.2.60,127.159.95.217,4328,22,17,128451,64,59,17825,20065,294976.2945,957.5636,308.0488,134.5983,0,0,1,0,11,BENIGN
2026-06-20 09:18:57,192.168.3.55,96.228.223.226,56704,623,6,47217,2,0,455,246,14846.3477,42.3576,350.5,150.8548,3,9,3,1,2,PortScan
2026-06-20 09:13:09,192.168.3.70,125.97.197.215,35722,80,6,120078,18,60,11739,18995,255950.299,649.5778,394.0256,141.0502,2,3,0,1,3,BENIGN
2026-06-20 11:10:11,192.168.3.200,61.232.160.169,6783,8080,6,224686,397,2,697162,8655,3141348.3706,1775.8116,1768.9649,547.8873,0,98,1,22,31,DoS Hulk
2026-06-20 12:37:26,192.168.3.145,99.111.248.245,12859,6667,6,4867920,16,138,111727,117893,47170.0439,31.6357,1491.039,350.091,2,19,2,21,161,Bot
2026-06-20 15:17:52,192.168.3.117,84.112.199.165,43429,22,6,194423,27,19,14357,21457,184206.6011,236.5975,778.5652,346.6625,1,1,1,2,13,BENIGN
2026-06-20 14:52:16,192.168.3.34,151.20.47.149,59895,443,6,949903,10,8,1368,20980,23526.6127,18.9493,1241.5556,476.0738,2,2,1,2,6,BENIGN
2026-06-20 11:59:33,192.168.1.110,60.181.7.28,31770,143,6,1632241,23,31,7172,9251,10061.6269,33.0833,304.1296,60.5454,0,0,1,0,3,BENIGN
2026-06-20 11:08:32,192.168.3.18,181.219.157.222,18477,387,6,36712,6,2,76,279,9669.8627,217.9124,44.375,17.683,2,5,4,0,3,PortScan
2026-06-20 12:49:24,192.168.3.216,170.66.127.19,35608,25,6,698105,56,59,5592,1995,10867.9926,164.7317,65.9739,12.8294,1,3,1,3,15,BENIGN
2026-06-20 08:50:09,192.168.2.156,139.217.16.105,41888,22,6,680152,52,125,42111,56748,145348.3927,260.2359,558.5254,165.6835,1,25,9,7,64,SSH-Patator
2026-06-20 15:58:11,192.168.0.9,153.141.203.116,56790,1016,17,59010,4,1,90,152,4100.9998,84.7314,48.4,10.3893,1,8,2,1,0,PortScan
2026-06-20 13:37:18,192.168.1.236,197.100.224.9,20532,443,6,261451,7,69,21403,976,85595.3888,290.6854,294.4605,94.2386,2,2,1,3,13,BENIGN
2026-06-20 11:43:37,192.168.1.148,154.119.62.20,29275,22,6,677769,64,97,27316,34217,90787.5692,237.5441,382.1925,94.2879,4,24,8,12,8,SSH-Patator
2026-06-20 12:41:36,192.168.2.35,105.125.117.49,21080,443,6,186615,3,17,13650,20554,183286.4454,107.1725,1710.2,490.8135,0,2,0,3,10,BENIGN
2026-06-20 11:41:24,192.168.1.186,38.205.219.70,45102,22,6,875264,64,70,11301,10557,24973.0367,153.0967,163.1194,82.1942,1,3,0,2,4,BENIGN
2026-06-20 15:18:53,192.168.0.24,19.245.68.101,3873,443,6,660419,12,20,2639,9923,19021.2577,48.4541,392.5625,150.1151,2,1,0,3,11,BENIGN
2026-06-20 15:21:47,192.168.1.164,133.32.160.190,36530,80,17,360754,327,68,531072,38804,1579680.3362,1094.929,1442.7241,609.9535,1,52,1,34,87,DoS Hulk
2026-06-20 15:02:31,192.168.0.155,211.89.253.163,58482,25,17,510328,9,69,17359,24152,81341.8037,152.8429,532.1923,208.8082,0,0,0,0,4,BENIGN
2026-06-20 13:14:48,192.168.3.193,186.98.239.37,38865,110,6,80640,26,24,7507,28808,450334.8214,620.0397,726.3,243.5202,0,2,0,2,9,BENIGN
2026-06-20 14:11:41,192.168.0.114,71.83.111.218,51541,110,6,1177756,61,20,14662,14023,24355.639,68.7749,354.1358,116.2687,1,2,1,3,3,BENIGN
2026-06-20 10:18:55,192.168.0.70,108.139.24.181,12154,22,6,1408228,55,24,1317,27292,20315.6023,56.0989,362.1392,108.9867,2,0,0,1,10,BENIGN
2026-06-20 15:44:30,192.168.1.134,172.214.220.236,25418,443,6,1589665,78,10,23775,17437,25924.959,55.3576,468.3182,133.1065,2,1,0,3,10,BENIGN
2026-06-20 14:28:42,192.168.1.195,14.28.164.167,27986,995,6,1086871,67,18,7644,4412,11092.3927,78.2062,141.8353,52.4074,0,3,1,1,12,BENIGN
2026-06-20 09:49:48,192.168.3.183,176.90.201.91,29202,53,17,1546038,69,46,4898,21333,16966.5946,74.3837,228.0957,67.3823,0,2,0,2,1,BENIGN
2026-06-20 12:04:43,192.168.1.250,200.251.112.154,34615,443,6,214920,196,5,510857,3627,2393839.5682,935.2317,2559.6219,885.9987,0,179,4,15,74,DDoS
2026-06-20 15:10:26,192.168.2.21,194.145.46.234,53552,443,6,2173421,157,168,118133,111357,105589.2991,149.5338,706.1231,328.3051,2,12,1,33,25,Bot
2026-06-20 15:39:55,192.168.3.157,126.7.121.93,56995,80,6,3769401,150,195,113787,167993,74754.583,91.5265,816.7536,240.0145,3,5,0,37,164,Bot
2026-06-20 10:01:52,192.168.0.162,221.204.219.241,18332,80,6,28532,637,2,168012,12677,6332854.339,22395.9064,282.7684,69.1033,1,128,4,0,64,DDoS
2026-06-20 11:45:50,192.168.0.12,94.25.62.218,21333,143,6,279114,29,50,13922,20484,123268.6286,283.0385,435.519,216.2425,1,0,0,2,1,BENIGN
2026-06-20 12:12:38,192.168.1.221,218.196.94.134,39781,443,6,352786,55,24,23674,3736,77695.8269,223.9318,346.962,112.7481,1,0,0,0,13,BENIGN
2026-06-20 09:15:44,192.168.0.233,41.33.91.96,8263,110,6,920886,28,35,10507,17254,30145.9681,68.4124,440.6508,97.8554,2,1,1,0,6,BENIGN
2026-06-20 15:40:13,192.168.1.252,66.144.111.48,16278,22,17,94238,110,92,14173,39441,568921.242,2143.509,265.4158,97.2083,1,3,1,15,98,SSH-Patator
2026-06-20 10:50:09,192.168.3.250,175.224.215.80,55291,993,6,473389,53,6,5042,7143,25739.9306,124.6332,206.5254,73.1029,1,3,0,1,1,BENIGN
2026-06-20 15:40:07,192.168.0.35,15.52.193.206,40061,25,6,439802,45,24,7500,15283,51802.8567,156.8888,330.1884,86.4763,0,2,1,2,11,BENIGN
2026-06-20 10:49:21,192.168.0.123,60.146.20.6,22993,272,6,46159,2,0,573,0,12413.6138,43.3285,286.5,111.4525,0,11,4,1,1,PortScan
2026-06-20 15:18:49,192.168.0.156,82.25.248.48,6264,143,17,1232869,58,64,20677,20128,33097.5959,98.9562,334.4672,121.9202,2,2,0,3,6,BENIGN
2026-06-20 15:58:19,192.168.2.79,139.108.153.15,16058,110,6,1317506,9,4,18180,17402,27007.0876,9.8671,2737.0769,788.2274,1,2,0,3,13,BENIGN
2026-06-20 14:28:53,192.168.2.116,24.191.216.120,46564,443,17,3062779,216,48,58448,100462,51884.2528,86.1962,601.9318,214.3005,0,17,4,21,34,Bot
2026-06-20 10:17:38,192.168.0.110,155.110.227.112,27093,80,6,211977,702,7,520951,15728,2531779.3912,3344.7025,756.952,211.946,2,61,8,4,5,DDoS
2026-06-20 12:21:19,192.168.1.188,193.58.108.199,4836,80,6,721240,47,190,166357,121421,399004.4923,328.6007,1214.2532,404.9545,5,11,5,31,104,Bot
2026-06-20 15:08:56,192.168.2.132,40.39.228.37,10135,53,17,965614,8,67,8809,14143,23769.3323,77.6708,306.0267,51.3402,2,3,0,1,6,BENIGN
2026-06-20 13:15:35,192.168.1.180,71.184.193.80,11978,443,17,1399959,28,52,22850,6569,21014.1868,57.1445,367.7375,147.5534,2,0,1,1,6,BENIGN
2026-06-20 13:43:38,192.168.2.101,86.234.2.162,59269,410,17,46245,8,1,300,137,9449.6702,194.6156,48.5556,13.8295,3,4,5,1,1,PortScan
2026-06-20 08:22:22,192.168.0.74,26.8.202.144,15255,995,6,632117,37,50,18138,12319,48182.5358,137.6327,350.0805,127.2817,2,2,0,3,6,BENIGN
2026-06-20 14:04:12,192.168.3.12,114.228.13.61,24349,995,6,1838130,39,6,19432,24030,23644.6824,24.4814,965.8222,344.9449,1,1,1,3,9,BENIGN
2026-06-20 13:08:40,192.168.1.41,81.38.103.15,40735,80,6,7783058,139,175,110974,154646,34127.9739,40.344,845.9236,170.1382,1,14,4,40,143,Bot
2026-06-20 12:53:06,192.168.3.43,201.243.14.112,6812,110,6,1326128,29,37,18738,10889,22340.9807,49.769,448.8939,192.9145,0,0,0,0,11,BENIGN
2026-06-20 09:29:33,192.168.3.87,75.9.4.124,52041,443,17,175944,197,5,498396,23710,2967455.554,1148.0926,2584.6832,743.4735,2,176,7,4,28,DDoS
2026-06-20 08:48:11,192.168.0.131,164.94.114.244,11171,53,17,1057843,28,44,2266,5879,7699.6303,68.063,113.125,19.7153,2,1,1,3,6,BENIGN
2026-06-20 14:15:50,192.168.2.91,55.106.139.219,11404,80,6,1918327,64,61,20065,7247,14237.4058,65.1609,218.496,107.6252,0,3,0,1,1,BENIGN
2026-06-20 11:14:01,192.168.0.247,60.28.205.41,4392,1015,6,4297,3,2,444,109,128694.438,1163.6025,110.6,43.9327,3,8,7,0,0,PortScan
2026-06-20 09:17:42,192.168.2.169,152.148.174.202,10548,80,6,5509224,216,189,47224,102945,27257.7408,73.5131,370.7877,99.7536,0,11,5,3,144,Bot
2026-06-20 14:56:33,192.168.2.18,137.170.186.109,63226,995,6,1006530,56,25,12462,2090,14457.5919,80.4745,179.6543,39.0948,1,0,1,0,1,BENIGN
2026-06-20 09:19:17,192.168.1.157,123.212.48.200,5968,80,6,51163,420,50,354997,25417,7435334.1282,9186.3261,809.3915,449.9155,4,103,6,18,62,DoS Hulk
2026-06-20 15:28:28,192.168.0.174,39.143.167.20,19473,53,6,436752,80,48,6795,21567,64938.4548,293.0725,221.5781,78.6021,0,1,1,1,3,BENIGN
2026-06-20 14:13:20,192.168.3.158,64.102.130.33,38665,110,17,1027289,36,56,7793,26499,33381.0641,89.5561,372.7391,158.3598,0,0,0,2,8,BENIGN
2026-06-20 12:33:00,192.168.3.55,76.50.96.93,36846,80,6,482327,36,36,2293,21691,49725.6011,149.2763,333.1111,150.4744,1,3,1,1,11,BENIGN
2026-06-20 14:06:43,192.168.0.183,222.141.222.56,18351,22,6,97057,16,81,18032,4198,229040.6668,999.4127,229.1753,86.2674,1,3,0,15,76,SSH-Patator
2026-06-20 09:20:41,192.168.2.131,204.214.118.141,51731,22,6,548884,39,39,1429,13292,26819.8745,142.1065,188.7308,79.1916,1,0,1,2,4,BENIGN
2026-06-20 12:56:11,192.168.3.82,211.157.119.60,25581,22,6,557606,105,88,30529,37954,122816.1103,346.1225,354.8342,172.49,1,14,8,7,80,SSH-Patator
2026-06-20 13:15:25,192.168.3.155,195.28.108.99,62166,443,17,346676,77,19,5625,24716,87519.7591,276.9156,316.0521,112.8356,1,1,0,0,9,BENIGN
2026-06-20 11:34:35,192.168.2.118,115.85.212.28,41784,443,6,1664046,8,41,14210,22620,22132.8016,29.4463,751.6327,429.0777,0,1,0,3,14,BENIGN
2026-06-20 13:43:29,192.168.3.55,116.192.50.182,12579,53,17,1006121,31,22,20384,21899,42025.7603,52.6776,797.7925,265.4616,2,3,1,0,11,BENIGN
2026-06-20 15:10:26,192.168.1.99,64.110.151.247,30101,995,6,655188,58,34,7865,9042,25804.8072,140.4177,183.7717,73.2524,2,0,1,2,13,BENIGN
2026-06-20 12:02:16,192.168.1.195,82.200.39.18,55936,25,17,1616872,63,44,18173,22669,25259.8845,66.1772,381.7009,87.2055,0,2,0,2,2,BENIGN
2026-06-20 10:19:23,192.168.2.223,111.97.11.20,27236,80,6,130995,76,75,600696,57634,5025611.6646,1152.7158,4359.8013,1767.1568,0,96,4,15,70,DoS Hulk
2026-06-20 14:23:13,192.168.0.13,152.58.153.234,58220,22,17,566142,41,17,31711,14182,81062.7016,102.4478,791.2586,358.3546,1,22,5,7,21,SSH-Patator
2026-06-20 14:41:10,192.168.0.116,185.71.241.60,30422,110,17,1813740,41,19,18000,20045,20975.9944,33.0808,634.0833,290.3014,2,3,1,0,2,BENIGN
2026-06-20 08:49:43,192.168.1.184,117.38.14.121,7664,8080,6,5849571,107,162,15564,163417,30597.2865,45.9863,665.3569,301.934,0,16,4,3,64,Bot
2026-06-20 08:09:05,192.168.1.252,22.140.17.161,14943,22,6,1914354,41,47,16521,12416,15115.8041,45.9685,328.8295,101.4824,0,3,0,3,8,BENIGN
2026-06-20 10:56:56,192.168.1.159,162.254.102.85,13700,443,6,1462608,51,4,11842,1265,8961.3895,37.6041,238.3091,110.277,1,1,1,1,14,BENIGN
2026-06-20 14:56:47,192.168.0.182,216.72.142.50,58232,41,6,24395,4,3,226,292,21233.8594,286.944,74.0,31.7272,1,10,3,1,4,PortScan
2026-06-20 14:44:22,192.168.3.5,68.71.147.94,16958,22,6,481413,126,122,38332,36157,154729.9304,515.1502,300.3589,99.9837,1,12,1,9,10,SSH-Patator
2026-06-20 12:24:36,192.168.0.55,56.214.176.10,12386,80,6,460699,549,36,414999,25078,955237.5846,1269.8096,752.2684,230.0603,4,120,8,8,68,DoS Hulk
2026-06-20 11:17:53,192.168.2.106,193.66.122.221,33308,254,6,18102,1,1,371,169,29830.9579,110.485,270.0,108.1713,0,10,1,0,2,PortScan
2026-06-20 15:05:59,192.168.3.208,47.71.250.134,6319,80,6,1170793,20,38,10053,3120,11251.3484,49.5391,227.1207,95.9811,2,3,1,1,8,BENIGN
2026-06-20 08:21:52,192.168.1.217,156.79.167.93,48480,92,6,31790,3,3,402,44,14029.569,188.7386,74.3333,26.2301,0,7,2,1,2,PortScan
2026-06-20 14:15:34,192.168.0.236,54.57.248.244,55326,443,17,48638,505,9,577007,22890,12333915.8683,10567.8687,1167.1148,429.9303,1,119,1,13,76,DDoS
2026-06-20 08:04:54,192.168.1.225,22.45.154.114,63720,22,6,530551,62,65,1157,5545,12632.1503,239.3738,52.7717,17.8264,2,1,0,1,9,BENIGN
2026-06-20 15:54:38,192.168.3.61,88.221.36.222,17685,22,6,777955,105,107,9491,52192,79288.6478,272.5093,290.9575,119.3369,0,23,9,18,57,SSH-Patator
2026-06-20 12:44:30,192.168.0.205,173.250.226.181,36220,22,17,339227,16,36,46064,9813,164718.6103,153.2897,1074.5577,460.0739,2,12,9,2,53,SSH-Patator
2026-06-20 14:58:11,192.168.0.100,150.232.38.16,42870,22,6,1028652,31,33,14148,13361,26742.7663,62.2173,429.8281,133.7863,2,0,1,3,8,BENIGN
2026-06-20 13:41:40,192.168.2.209,110.186.83.7,35474,443,17,1253064,71,4,5776,7524,10613.983,59.8533,177.3333,57.0357,1,3,1,2,2,BENIGN
2026-06-20 15:20:31,192.168.0.26,33.11.17.16,24043,110,17,290783,29,61,6723,17468,83192.6213,309.5092,268.7889,101.4458,2,2,1,1,4,BENIGN
2026-06-20 12:49:03,192.168.3.182,33.59.121.132,16275,143,17,656701,17,26,15219,26929,64181.4159,65.4788,980.186,378.8814,2,0,1,3,4,BENIGN
2026-06-20 09:36:37,192.168.3.250,197.62.213.247,56820,80,6,1894276,4,12,20322,27444,25215.9664,8.4465,2985.375,936.8569,2,1,1,2,13,BENIGN
2026-06-20 13:07:07,192.168.1.170,145.10.213.180,47191,80,17,207376,480,11,437960,19501,2205949.5795,2367.68,931.6925,145.4276,2,99,5,19,32,DDoS
2026-06-20 14:13:51,192.168.1.253,106.1.224.34,47848,765,6,45504,6,0,155,153,6768.6357,131.8565,51.3333,13.8533,2,12,6,1,1,PortScan
2026-06-20 08:01:45,192.168.2.173,58.103.202.62,39874,80,6,448002,68,7,682120,26515,1581767.4921,167.41,9448.4667,3094.486,0,85,7,7,50,DoS Hulk
2026-06-20 15:08:03,192.168.1.112,136.6.202.85,33999,216,6,1399,6,1,61,2,45032.1658,5003.574,9.0,4.3637,3,9,4,0,0,PortScan
2026-06-20 15:25:45,192.168.2.56,109.172.135.222,45686,8080,6,564500,197,41,122994,25049,262255.093,421.612,622.0294,194.8049,5,18,2,23,46,Bot
2026-06-20 08:48:40,192.168.2.132,165.201.242.36,46524,22,6,809900,63,70,48286,32027,99164.0943,164.2178,603.8571,265.9992,4,5,3,18,56,SSH-Patator
2026-06-20 09:49:23,192.168.1.118,107.227.65.80,27041,25,17,1445397,41,43,17928,12573,21102.1609,58.1155,363.1071,119.1065,1,0,1,2,13,BENIGN
2026-06-20 13:22:22,192.168.0.100,35.7.99.241,13789,22,6,939065,46,15,23011,16485,42058.8564,64.9582,647.4754,243.3886,0,0,1,1,12,BENIGN
2026-06-20 08:00:13,192.168.3.232,93.129.230.71,37008,993,6,1970826,30,67,20890,10338,15845.133,49.2179,321.9381,105.171,0,3,1,3,4,BENIGN
2026-06-20 08:56:14,192.168.2.140,19.194.117.15,11855,22,6,252332,19,83,47917,21816,276354.1683,404.2293,683.6569,154.1465,2,13,0,20,35,SSH-Patator
2026-06-20 14:13:56,192.168.2.230,213.164.48.242,10871,443,6,36155,58,29,17924,1842,546701.701,2406.3062,227.1954,71.7371,1,3,0,0,4,BENIGN
2026-06-20 12:26:41,192.168.0.38,29.25.28.2,40054,53,17,404274,72,60,7130,29956,91734.8135,326.5112,280.9545,85.1008,1,3,0,1,8,BENIGN
2026-06-20 08:02:05,192.168.1.218,59.28.184.40,55518,443,17,57503,574,10,380929,9110,6782933.0644,10155.9919,667.875,234.2527,1,103,6,12,51,DDoS
2026-06-20 11:03:05,192.168.3.120,17.241.84.130,42998,80,17,240367,748,5,684965,17582,2922809.7035,3132.7096,932.9973,391.4907,1,190,1,17,16,DDoS
2026-06-20 08:05:02,192.168.3.114,85.218.71.90,55085,80,6,428875,60,20,321652,42787,849755.7563,186.5345,4555.4875,1775.0664,4,114,9,27,66,DoS Hulk
2026-06-20 10:15:33,192.168.2.74,170.168.88.177,7948,22,6,732568,126,84,21614,68024,122361.3371,286.6628,426.8476,159.7229,3,7,2,6,89,SSH-Patator
2026-06-20 12:20:38,192.168.2.110,84.128.87.55,50630,8080,6,1400500,157,74,35723,131969,119737.2367,164.9411,725.9394,208.4693,4,19,3,30,170,Bot
2026-06-20 15:49:04,192.168.2.173,111.217.10.100,12231,993,6,1058173,80,67,3139,12140,14439.0379,138.9187,103.9388,44.5421,1,1,1,0,13,BENIGN
2026-06-20 08:00:11,192.168.0.227,57.36.206.45,47843,143,17,1394490,50,47,13328,6670,14340.7267,69.5595,206.1649,66.8002,0,0,0,2,7,BENIGN
2026-06-20 15:42:44,192.168.3.144,34.35.202.52,45838,443,6,3917556,155,28,54413,142084,50158.0577,46.7128,1073.7541,415.4739,5,15,3,36,145,Bot
2026-06-20 14:05:23,192.168.1.147,11.176.76.133,35929,25,6,1315944,77,8,15860,11471,20769.1209,64.5924,321.5412,172.9132,1,2,0,2,7,BENIGN
2026-06-20 12:20:00,192.168.1.190,51.183.35.85,43459,80,6,546437,9,55,9750,21775,57691.9206,117.1224,492.5781,177.337,2,0,0,1,6,BENIGN
2026-06-20 10:37:15,192.168.0.27,18.14.9.217,11641,110,6,1817992,44,25,21349,17556,21399.9842,37.954,563.8406,177.9749,1,2,0,3,2,BENIGN
2026-06-20 09:01:23,192.168.3.168,211.88.145.148,17059,80,17,197553,518,17,701844,26160,3685107.2877,2708.134,1360.7551,545.2575,2,168,0,15,36,DDoS
2026-06-20 08:16:27,192.168.2.161,20.137.200.79,51276,534,6,39920,1,1,359,290,16257.515,50.1002,324.5,124.3172,2,7,2,0,1,PortScan
2026-06-20 15:56:24,192.168.0.204,33.187.45.20,39491,80,6,945129,44,33,6914,21585,30153.5558,81.4704,370.1169,153.5108,2,0,1,0,11,BENIGN
2026-06-20 15:40:22,192.168.3.14,58.59.129.189,11780,53,6,471227,29,33,14634,27499,89411.2604,131.5714,679.5645,166.6305,1,3,1,2,6,BENIGN
2026-06-20 11:25:45,192.168.2.87,79.129.214.173,20225,443,6,659829,37,31,20745,761,32593.2931,103.057,316.2647,124.819,0,0,0,2,9,BENIGN
2026-06-20 08:44:25,192.168.1.159,130.54.143.13,30352,143,6,318623,14,9,7273,10854,56891.687,72.1856,788.1304,280.6378,1,0,0,3,3,BENIGN
2026-06-20 15:15:16,192.168.3.105,117.64.120.31,33940,22,6,678755,72,23,23655,29227,77910.2916,139.9621,556.6526,171.339,1,3,1,0,14,BENIGN
2026-06-20 09:36:22,192.168.1.238,75.104.84.3,31706,443,17,1237512,75,66,22496,29606,42102.218,113.9383,369.5177,140.0229,1,2,1,3,2,BENIGN
2026-06-20 12:57:06,192.168.1.172,152.85.59.102,25843,995,6,71929,14,50,12479,27401,554435.624,889.7663,623.125,196.2302,1,1,1,1,3,BENIGN
